draw,retained_2024,countries_2024,overlap_with_primary_count_2024,jaccard_vs_primary_q75_2024,w_demand,w_hazard,w_urban_form
271,655,71,374,0.4012875536480687,0.7017533775052216,0.1079611070267179,0.1902855154680603
272,662,70,312,0.3116883116883117,0.825878873497442,0.0915170176755024,0.0826041088270556
273,662,79,439,0.5022883295194508,0.5421759967320258,0.0589305058159526,0.3988934974520215
274,705,81,506,0.5952941176470589,0.4632426004522399,0.1735024487318414,0.3632549508159187
275,515,77,266,0.29555555555555557,0.1155965289703992,0.8461497113183087,0.038253759711292
276,760,94,425,0.43103448275862066,0.1312417134272703,0.0890103949775076,0.779747891595222
277,695,84,447,0.4972191323692992,0.458274593652718,0.0525833673537124,0.4891420389935695
278,716,84,497,0.5712643678160919,0.4346445412112655,0.1466557746948684,0.4186996840938661
279,689,79,462,0.5261958997722096,0.5563587632543001,0.1325391024458639,0.311102134299836
280,746,98,463,0.49571734475374735,0.0066970196985465,0.4099942151629916,0.5833087651384619
281,755,88,518,0.5833333333333334,0.3088188700851269,0.184633978115428,0.5065471517994449
282,706,86,576,0.737516005121639,0.3513868365357184,0.3756436889793862,0.2729694744848952
283,763,92,465,0.48998946259220233,0.2013499219750855,0.147734249021724,0.6509158290031906
284,698,80,487,0.5649651972157773,0.4911018715936143,0.1506057057704899,0.3582924226358957
285,737,90,585,0.7285180572851806,0.2839235109799445,0.3149620226146364,0.4011144664054191
286,604,83,425,0.5120481927710844,0.2026351385263522,0.5556288699642743,0.2417359915093734
287,664,78,432,0.48924122310305773,0.6027984237105638,0.0923917820192051,0.3048097942702311
288,633,75,414,0.47586206896551725,0.4377693932548717,0.5143183830318803,0.0479122237132479
289,552,86,336,0.3875432525951557,0.0435229611430316,0.7013411067563151,0.2551359321006534
290,712,75,484,0.5506257110352674,0.5105054300227855,0.3256826615672013,0.1638119084100132
291,687,96,466,0.5344036697247706,0.0308574164990725,0.4684622812270513,0.500680302273876
292,690,80,478,0.5538818076477404,0.5027623560414369,0.1490986556457486,0.3481389883128145
293,717,83,534,0.6402877697841727,0.451499621344771,0.2179450911348667,0.3305552875203624
294,672,91,508,0.6233128834355828,0.1467606038596838,0.463126232021372,0.3901131641189442
295,748,96,504,0.5631284916201117,0.1328923286413084,0.3254082485211147,0.5416994228375768
296,769,93,442,0.45194274028629855,0.2367076163472144,0.0597492020255133,0.7035431816272723
297,639,82,467,0.5674362089914945,0.2784491047321265,0.4995273056084932,0.2220235896593804
298,680,87,556,0.7174193548387097,0.2487157987391617,0.4165415273234399,0.3347426739373983
299,748,90,435,0.4512448132780083,0.2752557781474826,0.0317926236296804,0.6929515982228369
300,612,83,438,0.5309090909090909,0.2044644533473905,0.5399673910198189,0.2555681556327905
301,666,87,520,0.6524466750313677,0.1814538173115874,0.4660165509150071,0.3525296317734053
302,512,78,268,0.2994413407821229,0.0324878390829065,0.8346385528659848,0.1328736080511088
303,770,95,386,0.37294685990338167,0.003568640060991,0.0208608997848607,0.9755704601541484
304,759,93,502,0.552863436123348,0.2524536941478236,0.185028362292686,0.5625179435594906
305,701,74,428,0.46320346320346323,0.6101251876170228,0.259850979664276,0.130023832718701
306,729,91,559,0.6808769792935444,0.2376881246385468,0.3357351284283791,0.4265767469330739
307,679,83,536,0.6750629722921915,0.3314221711286479,0.4264614340184059,0.242116394852946
308,632,68,273,0.2702970297029703,0.921073601927334,0.0183849656246547,0.0605414324480109
309,738,83,553,0.6614832535885168,0.4141716474621675,0.2294314490320957,0.3563969035057368
